populationID	populationName	location	geographicRegion	dataSet-of-origin
1	Central	captiveBorn-wildCaught	CHIMPANZEE	Chimpanzee
2	Eastern	wildCaught	CHIMPANZEE	Chimpanzee
3	Western	captiveBorn-wildCaught	CHIMPANZEE	Chimpanzee
4	Unreported	captiveBorn-wildCaught	CHIMPANZEE	Chimpanzee
5	Hybrid	captiveBorn	CHIMPANZEE	Chimpanzee
6	Bonobo	captiveBorn	CHIMPANZEE	Chimpanzee
20	Orcadian	OrkneyIslands	EUROPE	HGDP-CEPH
21	Adygei	Russia-Caucasus	EUROPE	HGDP-CEPH
22	Russian	Russia	EUROPE	HGDP-CEPH
24	Basque	France	EUROPE	HGDP-CEPH
25	French	France	EUROPE	HGDP-CEPH
27	Italian	Italy-Bergamo	EUROPE	HGDP-CEPH
28	Sardinian	Italy	EUROPE	HGDP-CEPH
29	Tuscan	Italy	EUROPE	HGDP-CEPH
34	Mozabite	Algeria-Mzab	MIDDLE_EAST	HGDP-CEPH
36	Bedouin	Israel-Negev	MIDDLE_EAST	HGDP-CEPH
37	Druze	Israel-Carmel	MIDDLE_EAST	HGDP-CEPH
38	Palestinian	Israel-Central	MIDDLE_EAST	HGDP-CEPH
50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
52	Burusho	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
54	Hazara	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
56	Kalash	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
57	Makrani	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
58	Pathan	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
59	Sindhi	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH
81	Piapoco	Colombia	AMERICA	HGDP-CEPH
82	Karitiana	Brazil	AMERICA	HGDP-CEPH
83	Surui	Brazil	AMERICA	HGDP-CEPH
86	Maya	Mexico	AMERICA	HGDP-CEPH
87	Pima	Mexico	AMERICA	HGDP-CEPH
430	BantuSouthAfrica	SouthAfrica	AFRICA	HGDP-CEPH
441	BantuKenya	Kenya	AFRICA	HGDP-CEPH
464	Mandenka	Senegal	AFRICA	HGDP-CEPH
465	Yoruba	Nigeria	AFRICA	HGDP-CEPH
488	BiakaPygmy	CentralAfricanRepublic	AFRICA	HGDP-CEPH
489	MbutiPygmy	Congo	AFRICA	HGDP-CEPH
494	San	Namibia	AFRICA	HGDP-CEPH
501	Assamese	India	CENTRAL_SOUTH_ASIA	AsianIndian
502	Bengali	India	CENTRAL_SOUTH_ASIA	AsianIndian
504	Gujarati	India	CENTRAL_SOUTH_ASIA	AsianIndian
505	Hindi	India	CENTRAL_SOUTH_ASIA	AsianIndian
506	Kannada	India	CENTRAL_SOUTH_ASIA	AsianIndian
