populationID	populationName	location	geographicRegion	dataSet-of-origin	Latitude[degreesNorth]	Longitude[degreesEast]
1	Central	captiveBorn-wildCaught	CHIMPANZEE	Chimpanzee	NA	NA
2	Eastern	wildCaught	CHIMPANZEE	Chimpanzee	NA	NA
3	Western	captiveBorn-wildCaught	CHIMPANZEE	Chimpanzee	NA	NA
4	Unreported	captiveBorn-wildCaught	CHIMPANZEE	Chimpanzee	NA	NA
5	Hybrid	captiveBorn	CHIMPANZEE	Chimpanzee	NA	NA
6	Bonobo	captiveBorn	CHIMPANZEE	Chimpanzee	NA	NA
20	Orcadian	OrkneyIslands	EUROPE	HGDP-CEPH	59	-3
21	Adygei	Russia-Caucasus	EUROPE	HGDP-CEPH	44	39
22	Russian	Russia	EUROPE	HGDP-CEPH	61	40
24	Basque	France	EUROPE	HGDP-CEPH	43	0
25	French	France	EUROPE	HGDP-CEPH	46	2
27	Italian	Italy-Bergamo	EUROPE	HGDP-CEPH	46	10
28	Sardinian	Italy	EUROPE	HGDP-CEPH	40	9
29	Tuscan	Italy	EUROPE	HGDP-CEPH	43	11
34	Mozabite	Algeria-Mzab	MIDDLE_EAST	HGDP-CEPH	32	3
36	Bedouin	Israel-Negev	MIDDLE_EAST	HGDP-CEPH	31	35
37	Druze	Israel-Carmel	MIDDLE_EAST	HGDP-CEPH	32	35
38	Palestinian	Israel-Central	MIDDLE_EAST	HGDP-CEPH	32	35
50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	30.49871492	66.5
51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	30.49871492	66.5
52	Burusho	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	36.49838568	74
54	Hazara	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	33.49855601	70
56	Kalash	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	35.99366014	71.5
57	Makrani	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	26	64
58	Pathan	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	33.48700562	70.5
59	Sindhi	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	25.49063551	69
81	Piapoco	Colombia	AMERICA	HGDP-CEPH	3	-68
82	Karitiana	Brazil	AMERICA	HGDP-CEPH	-10	-63
83	Surui	Brazil	AMERICA	HGDP-CEPH	-11	-62
86	Maya	Mexico	AMERICA	HGDP-CEPH	19	-91
87	Pima	Mexico	AMERICA	HGDP-CEPH	29	-108
430	BantuSouthAfrica	SouthAfrica	AFRICA	HGDP-CEPH	-25.56926433	24.25
441	BantuKenya	Kenya	AFRICA	HGDP-CEPH	-3	37
464	Mandenka	Senegal	AFRICA	HGDP-CEPH	12	-12
465	Yoruba	Nigeria	AFRICA	HGDP-CEPH	7.995094727	5
488	BiakaPygmy	CentralAfricanRepublic	AFRICA	HGDP-CEPH	4	17
489	MbutiPygmy	Congo	AFRICA	HGDP-CEPH	1	29
494	San	Namibia	AFRICA	HGDP-CEPH	-21	20
501	Assamese	India	CENTRAL_SOUTH_ASIA	AsianIndian	26	93
502	Bengali	India	CENTRAL_SOUTH_ASIA	AsianIndian	23.25766454	87.66666667
504	Gujarati	India	CENTRAL_SOUTH_ASIA	AsianIndian	23	72
505	Hindi	India	CENTRAL_SOUTH_ASIA	AsianIndian	26.98091726	78.39357143
506	Kannada	India	CENTRAL_SOUTH_ASIA	AsianIndian	15	75
507	Kashmiri	India	CENTRAL_SOUTH_ASIA	AsianIndian	32.44	74.54
508	Konkani	India	CENTRAL_SOUTH_ASIA	AsianIndian	14.57081522	75.13095238
509	Malayalam	India	CENTRAL_SOUTH_ASIA	AsianIndian	10	76.25
510	Marathi	India	CENTRAL_SOUTH_ASIA	AsianIndian	19.81684261	75.94230769
511	Marwari	India	CENTRAL_SOUTH_ASIA	AsianIndian	26.67171131	74.264
512	Oriya	India	CENTRAL_SOUTH_ASIA	AsianIndian	20	85
513	Parsi	India	CENTRAL_SOUTH_ASIA	AsianIndian	19	72.8
514	Punjabi	India	CENTRAL_SOUTH_ASIA	AsianIndian	30.47159766	75.29071429
515	Tamil	India	CENTRAL_SOUTH_ASIA	AsianIndian	11.10167224	77.94827586
516	Telugu	India	CENTRAL_SOUTH_ASIA	AsianIndian	15.9257581	79.62962963
601	Han	China	EAST_ASIA	HGDP-CEPH	32.26566812	114
602	Han-NChina	China	EAST_ASIA	HGDP-CEPH	32.26566812	114
606	Dai	China	EAST_ASIA	HGDP-CEPH	21	100
607	Daur	China	EAST_ASIA	HGDP-CEPH	48.49753416	124
608	Hezhen	China	EAST_ASIA	HGDP-CEPH	47.4976192	133.5
611	Lahu	China	EAST_ASIA	HGDP-CEPH	22	100
612	Miao	China	EAST_ASIA	HGDP-CEPH	28	109
613	Oroqen	China	EAST_ASIA	HGDP-CEPH	50.43389257	126.5
615	She	China	EAST_ASIA	HGDP-CEPH	27	119
616	Tujia	China	EAST_ASIA	HGDP-CEPH	29	109
617	Tu	China	EAST_ASIA	HGDP-CEPH	36	101
618	Xibo	China	EAST_ASIA	HGDP-CEPH	43.49792973	81.5
619	Yi	China	EAST_ASIA	HGDP-CEPH	28	103
622	Mongola	China	EAST_ASIA	HGDP-CEPH	45	111
625	Naxi	China	EAST_ASIA	HGDP-CEPH	26	100
629	Uygur	China	CENTRAL_SOUTH_ASIA	HGDP-CEPH	44	81
677	Cambodian	Cambodia	EAST_ASIA	HGDP-CEPH	12	105
684	Japanese	Japan	EAST_ASIA	HGDP-CEPH	38	138
690	TundraNentsi	Siberia	EAST_ASIA	NativeAmerican	66.08	76.5
699	Yakut	Siberia	EAST_ASIA	HGDP-CEPH	62.98287845	129.5
811	Chipewyan	Canada	AMERICA	NativeAmerican	59.55	-107.3
812	Cree	Canada	AMERICA	NativeAmerican	50.33	-102.5
813	Ojibwa	Canada	AMERICA	NativeAmerican	46.5	-81
821	Kaqchikel	Guatemala	AMERICA	NativeAmerican	15	-91
822	Mixtec	Mexico	AMERICA	NativeAmerican	17	-97
823	Mixe	Mexico	AMERICA	NativeAmerican	17	-96
824	Zapotec	Mexico	AMERICA	NativeAmerican	16	-97
831	Guaymi	Panama	AMERICA	NativeAmerican	8.5	-82
832	Cabecar	CostaRica	AMERICA	NativeAmerican	9.5	-84
833	Aymara	Chile	AMERICA	NativeAmerican	-22	-70
834	Huilliche	Chile	AMERICA	NativeAmerican	-41	-73
835	Guarani	Brazil	AMERICA	NativeAmerican	-23	-54
836	Ache	Paraguay	AMERICA	NativeAmerican	-24	-56
