individualID	populationID	populationName	location	geographicRegion	fromHGDP-CEPH-dataSet[RosenbergEtAl2005]?	fromNativeAmerican-dataSet[WangEtAl2007]?	fromLatino-dataSet[WangEtAl2008]?	fromJewish-dataSet[KopelmanEtAl2009]?	fromAsianIndian-dataSet[RosenbergEtAl2006]?	fromChhaGaamPatel-dataSet[PembertonEtAl2012]?	fromPacificIslander-dataSet[FriedlaenderEtAl2008]?	fromAfrican-dataSet[TishkoffEtAl2009]?	fromChimpanzee-dataSet[BecquetEtAl2007]?	inMS5795	inMS5547	inMS5435	inMS5592	inMS5362	inMS5255	inMS5879	inMS5631	inMS5519	inMS5676	inMS5446	inMS5339
794	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
795	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
796	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
797	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
798	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
799	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
800	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
801	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
802	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
803	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
804	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
805	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
806	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
807	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
808	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
810	20	Orcadian	OrkneyIslands	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1381	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1382	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1383	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1384	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1385	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1386	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1387	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1388	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1396	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1397	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1398	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1399	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1400	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1401	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1402	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1403	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1404	21	Adygei	Russia-Caucasus	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
879	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
880	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
881	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
882	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
883	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
884	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
885	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
886	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
887	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
888	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
889	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
890	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
891	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
892	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
893	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
894	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
895	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
896	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
897	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
898	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
899	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
900	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
901	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
902	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
903	22	Russian	Russia	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1357	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1358	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1359	24	Basque	France	EUROPE	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
